code,name_en,name_tc,address_en,address_tc,telephone,hours_en,hours_tc,lat,lng,district,district_tc,sub_district,sub_district_tc,type,bizTypeCode,cold_chain
H852FG01P,"SF Locker Block A, Fung Shing Court, Sha Tin",自助櫃 沙田豐盛苑A座,"G/F, Block A, Fung Shing Court, Sha Tin*",沙田豐盛苑A座地下*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.371364,114.188043,Sha Tin District,沙田區,Sha Tin,沙田,locker,"5,3,7,6",false
H852FG02P,"SF Locker Sky One, Tai Wai",自助櫃 大圍雲頂峰,"Lobby Concierge, Sky One, Tai Wai (Sky Ones residents only)*",大圍雲頂峰大堂禮賓部(只供雲頂峰住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.381734,114.180853,Sha Tin District,沙田區,Tai Wai,大圍,locker,"5,3,7,6",false
H852FG03P,"SF Locker Mei Pak Court, Tai Wai",自助櫃 大圍美柏苑,"G/F, Mei Pak Court, Tai Wai (Residents only)*",大圍美柏苑正門地下(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.378391,114.173373,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,7,6,5",false
H852FG04P,"SF Locker Julimount Garden, Tai Wai",自助櫃 大圍瑞峰花園,"P/F, Block 2, Julimount Garden, Tai Wai (Residents only)*",香港大圍瑞峰花園2座平台(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.36192,114.176711,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,5,6,7",false
H852FG61P,"SF Locker Phase 1, Festival City, Tai Wai",自助櫃 大圍名城一期,"Lobby, C/F, Phase 1, Festival City, Tai Wai(Residents only)*",大圍名城一期C層中轉大堂(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.369782,114.176087,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,5,6,7",false
H852FG63P,"SF Locker Phase 3, Festival City, Tai Wai",自助櫃 大圍名城三期,"Lobby, C/F, Phase 3, Festival City, Tai Wai(Residents only)*",大圍名城三期中轉大堂單車停泊區旁住戶使用*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.370436,114.176879,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,5,6,7",false
H852FG64P,"SF Locker Lung Hang Shopping Centre, Tai Wai",自助櫃 大圍隆亨商場,"2/F, Lung Hang Shopping Centre, Tai Wai*",大圍隆亨商場2樓位置(近酒樓正門)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.368375,114.179891,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,5,6,7",false
H852FG65P,"SF Locker The Riverpark, Tai Wai",自助櫃 大圍溱岸8號,"G/F, The Riverpark, Tai Wai(Residents only)*",大圍溱岸8號地下電梯大堂外面只供住戶使用*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.375295,114.186875,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,7,6,5",false
H852FG93P,"SF Locker Locker No.2, Golden Lion Garden Phase II, Tai Wai",自助櫃 大圍金獅花園二期(二號櫃),"Locker No.2, Corridor, G/F, Golden Fortune Court, Golden Lion Garden Phase II, Tai Wai(Residents only)*",大圍金獅花園二期金福閣地下二號櫃住戶使用*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.367845,114.181179,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,5,6,7",false
H852FG96P,"SF Locker Locker No.1, Holford Garden, Tai Wai",自助櫃 大圍海福花園(順豐站)(一號櫃),"Locker No.1, Shop 16A, 17, G/F, Holford Garden, Tai Wai*",大圍海福花園地下17鋪順豐站旁一號櫃*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.372937,114.17693,Sha Tin District,沙田區,Tai Wai,大圍,locker,"3,7,6",false
